months_as_customer,age,policy_number,policy_state,policy_csl,policy_deductible,policy_annual_premium,umbrella_limit,zip_code,policyholder_gender,policyholder_occupation_sector,date_of_loss,loss_type,loss_location_address,loss_location_city,loss_location_state,time_of_loss,claim_amount,vehicle_year,vehicle_make,vehicle_model,vehicle_weight,previous_losses
39,21,1694505,IN,500/1000,500,1524.86,0,46802,Male,Manufacturing,,,,,,,,2024,Honda,CR-V,3700,No
20,45,1935803,WI,250/500,500,780.63,0,53703,Female,Retail,,,,,,,,2018,Chevrolet,Equinox,3700,No
70,60,9743931,AL,500/1000,500,480.92,0,35203,Male,Finance,,,,,,,,2012,Volkswagen,Tiguan,3800,No
39,40,2064176,WI,250/500,500,812.74,1000000,53703,Male,Manufacturing,,,,,,,,2019,Honda,Civic,2900,Yes
190,44,9594710,IL,250/500,500,450.0,0,60601,Male,Retail,2020-02-02,Rear-end,1073 Pine St,Chicago,IL,09:12,17191.53,2012,Toyota,Corolla,3000,Yes
56,41,7006668,NC,500/1000,500,880.47,0,28202,Female,Education,,,,,,,,2014,Ford,Explorer,4300,No
8,53,1561218,MI,500/1000,1000,908.79,1000000,49503,Male,Transportation,,,,,,,,2016,Tesla,Model 3,3600,No
36,17,6119061,KY,250/500,500,1605.31,0,40202,Female,Education,2024-08-11,Intersection,2128 Elm St,Louisville,KY,15:18,15059.71,2018,Tesla,Model Y,4400,No
84,22,6187105,VA,500/1000,500,906.14,0,23510,Male,Hospitality,,,,,,,,2015,Subaru,Outback,3600,No
75,33,1851237,GA,250/500,500,674.68,0,30303,Female,Education,2023-01-22,Theft,8680 Pine St,Atlanta,GA,05:28,27202.99,2020,Volkswagen,Tiguan,3800,No
29,68,5305330,ME,500/1000,500,584.49,0,04101,Male,Retail,,,,,,,,2012,Subaru,Forester,3500,No
155,18,3083559,TN,250/500,1000,608.35,0,37902,Male,Finance,2020-06-07,Single vehicle,6060 Oak St,Knoxville,TN,17:57,7965.52,2019,Volkswagen,Tiguan,3800,No
233,33,6332962,SC,500/1000,500,828.22,0,29401,Male,Manufacturing,,,,,,,,2024,Nissan,Rogue,3600,Yes
37,73,2771306,WI,500/1000,1000,537.86,2000000,53703,Male,Retail,,,,,,,,2016,Ford,Explorer,4300,No
5,34,2994919,AL,250/500,500,1097.75,0,35801,Female,Manufacturing,2025-06-23,Single vehicle,5351 Maple St,Huntsville,AL,12:28,3107.37,2014,Tesla,Model Y,4400,No
69,49,7913085,GA,250/500,500,470.66,2000000,31401,Male,Finance,,,,,,,,2017,Jeep,Grand Cherokee,4800,No
132,43,2227700,WI,500/1000,500,653.95,1000000,53202,Male,Healthcare,,,,,,,,2016,Subaru,Forester,3500,Yes
19,39,1793247,VT,250/500,500,1213.04,0,05401,Male,Transportation,,,,,,,,2023,Honda,CR-V,3700,No
61,58,3954294,IN,500/1000,1000,786.53,1000000,46204,Male,Healthcare,2021-04-28,Intersection,7893 Maple St,Indianapolis,IN,15:24,9378.27,2017,Volkswagen,Jetta,3000,No
37,32,4821613,NC,250/500,1000,742.0,0,28202,Male,Education,,,,,,,,2015,Chevrolet,Equinox,3700,No
151,54,5427445,AL,250/500,500,708.03,1000000,35801,Male,Healthcare,,,,,,,,2019,Ford,Escape,3500,No
124,47,2583633,VT,500/1000,500,647.2,0,05602,Male,Finance,2023-12-15,Vandalism,3743 Oak St,Montpelier,VT,17:48,20320.85,2013,Subaru,Outback,3600,No
18,28,8069475,WI,250/500,500,577.24,0,53703,Female,Transportation,,,,,,,,2014,Kia,Sportage,3500,No
55,76,1475097,NC,250/500,500,919.27,0,27601,Female,Transportation,,,,,,,,2020,Toyota,RAV4,3600,No
4,17,4529503,OH,500/1000,500,704.54,2000000,43215,Female,Manufacturing,,,,,,,,2014,Tesla,Model 3,3600,No
54,49,8678756,ME,250/500,500,450.0,0,04401,Female,Transportation,2023-12-16,Intersection,3037 Pine St,Bangor,ME,18:54,4052.74,2011,Hyundai,Santa Fe,3900,Yes
45,48,4902050,AL,500/1000,500,843.84,0,35203,Female,Hospitality,,,,,,,,2019,Jeep,Cherokee,4200,No
14,40,7904168,ME,500/1000,1000,558.14,0,04401,Male,Retail,,,,,,,,2018,Toyota,RAV4,3600,Yes
48,71,4008954,ME,250/500,1000,885.36,0,04401,Male,Technology,,,,,,,,2018,Honda,CR-V,3700,Yes
3,46,6087486,IN,250/500,1000,488.02,0,46204,Male,Education,2024-11-19,Single vehicle,5812 Elm St,Indianapolis,IN,11:57,7436.93,2014,Chevrolet,Malibu,3400,No
1,64,6919904,GA,250/500,500,814.67,0,31401,Female,Transportation,,,,,,,,2012,Nissan,Altima,3200,No
89,41,4939411,SC,250/500,500,587.56,0,29401,Male,Education,2024-04-26,Single vehicle,265 Pine St,Charleston,SC,00:39,4800.96,2011,Chevrolet,Malibu,3400,No
55,72,1086895,TN,250/500,500,910.5,1000000,37902,Female,Retail,,,,,,,,2021,Ford,Explorer,4300,No
181,84,8136534,WI,500/1000,500,803.13,0,53202,Male,Technology,,,,,,,,2016,Toyota,Corolla,3000,No
36,46,1188027,IN,250/500,500,511.97,0,46802,Male,Manufacturing,,,,,,,,2010,Toyota,Corolla,3000,No
27,60,7242633,ME,250/500,500,640.75,0,04101,Female,Retail,2023-10-24,Rear-end,7517 Maple St,Portland,ME,23:08,13066.45,2018,Volkswagen,Jetta,3000,No
1,36,8464058,MI,250/500,500,846.52,0,49503,Male,Education,,,,,,,,2024,Volkswagen,Jetta,3000,No
134,32,2542447,WI,250/500,500,822.79,0,53703,Female,Technology,,,,,,,,2019,Nissan,Altima,3200,No
5,30,1408866,VA,500/1000,500,833.59,0,23219,Female,Transportation,,,,,,,,2016,Honda,Accord,3300,No
104,31,5331077,SC,250/500,500,691.93,0,29401,Male,Technology,,,,,,,,2016,Ford,Explorer,4300,No
59,49,5371384,GA,250/500,500,481.85,1000000,31401,Male,Retail,,,,,,,,2019,Ford,Escape,3500,No
39,49,8368162,VT,500/1000,1000,485.2,0,05602,Female,Retail,2020-03-09,Rear-end,3393 Oak St,Montpelier,VT,03:04,3395.69,2019,Chevrolet,Malibu,3400,Yes
68,30,1565018,TN,250/500,1000,869.03,1000000,37902,Male,Finance,,,,,,,,2014,Hyundai,Elantra,2800,Yes
6,52,3980440,VT,500/1000,500,630.56,1000000,05401,Female,Education,,,,,,,,2014,Ford,Escape,3500,No
3,45,2673682,IN,250/500,500,606.14,1000000,46802,Female,Retail,2024-01-20,Theft,5775 Oak St,Fort Wayne,IN,02:37,1848.24,2017,Nissan,Rogue,3600,Yes
142,18,5129097,OH,500/1000,500,939.62,1000000,44114,Male,Hospitality,,,,,,,,2020,Chevrolet,Equinox,3700,No
57,45,1581219,NH,500/1000,500,531.35,0,03101,Female,Transportation,,,,,,,,2015,Volkswagen,Tiguan,3800,No
8,85,2428285,OH,250/500,1000,708.48,0,43215,Female,Technology,,,,,,,,2016,Volkswagen,Tiguan,3800,No
18,46,6992654,AL,500/1000,1000,704.75,1000000,35801,Female,Manufacturing,,,,,,,,2012,Jeep,Cherokee,4200,No
100,81,9899517,OH,250/500,500,871.11,0,44114,Male,Technology,2024-09-11,Single vehicle,9728 Maple St,Cleveland,OH,17:56,10788.54,2012,Ford,Explorer,4300,Yes
112,36,3092045,IN,250/500,500,561.17,1000000,46204,Female,Transportation,,,,,,,,2017,Volkswagen,Jetta,3000,Yes
138,59,2644316,IL,250/500,500,539.96,0,60505,Female,Retail,,,,,,,,2012,Nissan,Rogue,3600,Yes
68,57,1206811,VT,250/500,500,540.11,1000000,05401,Female,Healthcare,,,,,,,,2017,Subaru,Forester,3500,Yes
1,59,3244970,VA,500/1000,500,507.85,2000000,23510,Female,Hospitality,,,,,,,,2013,Chevrolet,Silverado,4800,No
89,52,3873980,NH,250/500,500,1042.19,1000000,03301,Female,Hospitality,,,,,,,,2018,Chevrolet,Silverado,4800,No
44,17,2818126,WI,250/500,500,1500.61,0,53703,Male,Hospitality,,,,,,,,2019,Volkswagen,Tiguan,3800,No
51,27,8524053,VA,250/500,500,774.81,0,23510,Male,Transportation,,,,,,,,2012,Tesla,Model Y,4400,No
29,60,6867335,GA,250/500,500,525.4,0,30303,Female,Education,,,,,,,,2018,Chevrolet,Malibu,3400,Yes
60,27,5213450,OH,500/1000,500,541.17,0,43215,Female,Manufacturing,2024-06-15,Vandalism,3612 Elm St,Columbus,OH,09:19,15555.68,2022,Tesla,Model Y,4400,No
34,68,8833472,KY,250/500,500,450.0,0,40507,Male,Manufacturing,2020-08-08,Animal,8728 Elm St,Lexington,KY,07:04,10585.18,2016,Kia,Sorento,4100,No
10,39,8994992,VA,250/500,1000,952.66,0,23510,Male,Technology,2023-10-11,Rear-end,3153 Elm St,Norfolk,VA,07:21,2874.95,2013,Chevrolet,Equinox,3700,Yes
61,17,3465352,GA,500/1000,500,1044.63,0,30303,Male,Manufacturing,2020-01-22,Single vehicle,9355 Elm St,Atlanta,GA,13:05,4864.54,2023,Nissan,Rogue,3600,No
26,31,2846997,KY,250/500,500,553.04,0,40202,Female,Finance,,,,,,,,2021,Honda,CR-V,3700,No
182,21,4048447,VA,250/500,1000,998.58,0,23219,Female,Healthcare,,,,,,,,2016,Subaru,Forester,3500,No
56,45,2020980,SC,250/500,500,860.37,0,29401,Female,Education,,,,,,,,2016,Chevrolet,Malibu,3400,No
47,34,6952261,SC,250/500,1000,884.28,1000000,29201,Male,Transportation,,,,,,,,2019,Toyota,RAV4,3600,No
26,37,6643737,GA,250/500,1000,465.91,0,31401,Female,Hospitality,2025-11-16,Rear-end,8248 Elm St,Savannah,GA,00:56,7872.37,2021,Toyota,Camry,3300,No
33,53,7856669,VT,250/500,500,450.0,1000000,05401,Female,Finance,,,,,,,,2019,Toyota,RAV4,3600,No
109,24,5459927,IL,500/1000,500,1363.68,0,60601,Male,Retail,,,,,,,,2015,Toyota,Camry,3300,No
26,37,9996316,ME,250/500,500,708.8,0,04401,Male,Hospitality,,,,,,,,2009,Honda,Civic,2900,Yes
88,45,8524805,KY,250/500,500,500.43,2000000,40202,Male,Healthcare,,,,,,,,2017,Nissan,Rogue,3600,No
1,45,6504573,AL,250/500,500,899.51,2000000,35801,Female,Transportation,2024-11-09,Intersection,6557 Oak St,Huntsville,AL,21:25,15235.92,2014,Subaru,Outback,3600,No
11,47,9548878,IN,250/500,500,598.12,0,46204,Female,Finance,2024-11-23,Animal,8708 Pine St,Indianapolis,IN,12:54,1801.36,2015,Volkswagen,Tiguan,3800,No
77,54,1343040,OH,500/1000,1000,974.51,2000000,43215,Female,Transportation,,,,,,,,2017,Volkswagen,Tiguan,3800,Yes
18,49,9593867,GA,250/500,500,750.77,2000000,30303,Male,Education,,,,,,,,2015,Hyundai,Santa Fe,3900,No
33,77,1804736,MI,250/500,500,900.74,1000000,48201,Male,Manufacturing,,,,,,,,2015,Chevrolet,Malibu,3400,No
87,61,9753524,TN,250/500,500,532.52,0,37902,Female,Education,,,,,,,,2016,Toyota,Corolla,3000,Yes
12,51,9289759,WI,250/500,1000,680.07,0,53202,Male,Education,2023-07-10,Animal,810 Elm St,Milwaukee,WI,06:01,2175.82,2014,Ford,Escape,3500,No
39,43,6600675,NH,500/1000,500,895.33,1000000,03101,Male,Technology,,,,,,,,2018,Nissan,Altima,3200,No
191,60,2537279,VA,500/1000,500,859.07,0,23219,Male,Transportation,2023-07-11,Intersection,406 Pine St,Richmond,VA,07:10,24291.01,2020,Kia,Sorento,4100,No
60,60,3075002,IN,500/1000,1000,752.85,0,46802,Male,Finance,,,,,,,,2019,Toyota,RAV4,3600,No
47,52,9690018,AL,250/500,500,497.02,0,35203,Male,Manufacturing,,,,,,,,2013,Toyota,Camry,3300,Yes
16,48,4952192,VA,250/500,500,1211.26,0,23510,Male,Finance,2021-01-04,Animal,1986 Pine St,Norfolk,VA,20:49,3205.6,2013,Toyota,RAV4,3600,No
268,64,2827061,IN,250/500,500,737.02,1000000,46802,Female,Healthcare,,,,,,,,2014,Ford,F-150,4600,Yes
41,26,5315056,KY,500/1000,1000,658.19,0,40202,Male,Finance,,,,,,,,2024,Honda,Accord,3300,No
3,34,8448410,NH,250/500,1000,748.79,1000000,03301,Female,Hospitality,2023-02-24,Animal,8057 Pine St,Concord,NH,13:22,1864.5,2015,Subaru,Forester,3500,No
64,41,7797326,SC,500/1000,1000,450.0,0,29201,Male,Retail,,,,,,,,2011,Volkswagen,Tiguan,3800,Yes
16,85,6306782,VT,250/500,500,1002.87,0,05401,Female,Technology,,,,,,,,2013,Tesla,Model Y,4400,Yes
1,64,1173441,GA,250/500,500,1033.49,1000000,31401,Male,Technology,2021-12-23,Intersection,9500 Maple St,Savannah,GA,10:36,6471.21,2023,Chevrolet,Equinox,3700,No
139,71,8436989,IL,500/1000,1000,872.3,0,60505,Female,Manufacturing,2020-12-04,Theft,3297 Oak St,Aurora,IL,08:16,10941.9,2016,Toyota,Corolla,3000,No
21,58,7560500,GA,250/500,500,767.7,0,30303,Male,Technology,,,,,,,,2018,Honda,Civic,2900,Yes
4,58,6234642,NH,250/500,500,915.07,1000000,03301,Female,Healthcare,,,,,,,,2017,Honda,CR-V,3700,Yes
194,27,9174892,MI,250/500,500,654.12,0,48201,Female,Hospitality,,,,,,,,2016,Honda,CR-V,3700,No
45,25,6765524,VT,500/1000,500,909.67,0,05602,Male,Healthcare,2025-02-25,Theft,2165 Elm St,Montpelier,VT,23:27,6502.22,2019,Chevrolet,Malibu,3400,No
12,69,6233438,ME,500/1000,500,635.3,0,04101,Female,Healthcare,,,,,,,,2017,Nissan,Rogue,3600,No
12,41,6383465,TN,250/500,500,995.91,2000000,37902,Male,Finance,,,,,,,,2016,Chevrolet,Malibu,3400,No
114,31,8715754,SC,250/500,500,540.93,0,29201,Female,Technology,,,,,,,,2014,Chevrolet,Silverado,4800,No
36,53,8541721,VT,500/1000,500,636.81,2000000,05401,Female,Manufacturing,,,,,,,,2016,Honda,Civic,2900,No
101,37,4674843,NC,500/1000,1000,575.34,0,28202,Female,Transportation,2025-10-02,Theft,126 Pine St,Charlotte,NC,04:49,9749.82,2013,Ford,Escape,3500,No
4,37,8041934,MI,250/500,500,555.25,0,48201,Female,Hospitality,2025-11-02,Rear-end,3832 Oak St,Detroit,MI,00:54,960.29,2016,Nissan,Rogue,3600,No
91,42,8794362,ME,500/1000,500,450.0,0,04401,Male,Manufacturing,,,,,,,,2014,Chevrolet,Malibu,3400,No
148,63,4819739,AL,250/500,1000,578.95,1000000,35203,Male,Hospitality,,,,,,,,2014,Toyota,Camry,3300,No
10,77,1487384,WI,250/500,500,1066.24,0,53202,Male,Hospitality,,,,,,,,2023,Nissan,Altima,3200,No
85,31,3049427,IL,500/1000,500,727.45,0,60601,Female,Healthcare,,,,,,,,2014,Nissan,Rogue,3600,Yes
1,61,8228783,VT,250/500,1000,970.21,2000000,05401,Male,Healthcare,2021-10-03,Single vehicle,3197 Oak St,Burlington,VT,02:14,1431.73,2016,Ford,F-150,4600,No
94,65,8357410,IL,500/1000,1000,490.97,0,60505,Male,Healthcare,,,,,,,,2013,Chevrolet,Malibu,3400,No
54,52,2548713,OH,250/500,500,982.57,0,43215,Female,Transportation,2025-05-10,Intersection,5577 Elm St,Columbus,OH,15:54,3013.84,2017,Chevrolet,Equinox,3700,No
55,27,4849364,MI,250/500,500,629.35,0,48201,Male,Transportation,2021-02-03,Intersection,9083 Oak St,Detroit,MI,05:32,12037.85,2016,Tesla,Model 3,3600,Yes
9,56,6408308,KY,250/500,500,722.47,0,40202,Male,Manufacturing,,,,,,,,2015,Hyundai,Elantra,2800,No
162,45,3108556,MI,250/500,500,450.0,0,48201,Female,Transportation,,,,,,,,2015,Toyota,RAV4,3600,No
44,29,8387184,MI,500/1000,500,450.0,0,48201,Male,Finance,,,,,,,,2016,Chevrolet,Silverado,4800,No
23,48,7744100,IN,500/1000,1000,602.17,0,46204,Male,Finance,2024-07-22,Vandalism,562 Elm St,Indianapolis,IN,15:07,6123.31,2008,Hyundai,Elantra,2800,No
112,32,8892609,GA,500/1000,1000,518.19,0,31401,Female,Technology,,,,,,,,2012,Ford,Escape,3500,No
3,54,5015258,VA,250/500,500,490.55,0,23219,Male,Transportation,,,,,,,,2014,Kia,Sorento,4100,Yes
193,41,2862769,NH,250/500,500,874.04,1000000,03301,Male,Transportation,2023-01-04,Single vehicle,7890 Oak St,Concord,NH,02:21,2446.15,2019,Subaru,Forester,3500,No
152,43,3528792,NC,250/500,1000,786.41,0,27601,Male,Technology,,,,,,,,2012,Volkswagen,Jetta,3000,No
29,50,2260687,VA,250/500,1000,701.87,0,23219,Male,Education,,,,,,,,2017,Hyundai,Elantra,2800,No
7,17,4826811,TN,250/500,500,808.42,0,37203,Male,Hospitality,,,,,,,,2012,Toyota,Corolla,3000,No
69,32,5744014,VA,250/500,500,815.77,0,23510,Male,Healthcare,,,,,,,,2017,Ford,F-150,4600,No
52,37,3599101,IN,250/500,500,475.29,0,46802,Female,Education,2020-06-30,Rear-end,1479 Oak St,Fort Wayne,IN,07:15,3699.85,2018,Toyota,Camry,3300,No
5,32,5404651,IL,250/500,1000,664.79,0,60505,Female,Manufacturing,,,,,,,,2024,Chevrolet,Silverado,4800,No
164,23,3729680,MI,250/500,500,685.18,0,49503,Female,Healthcare,2020-03-21,Theft,6247 Oak St,Grand Rapids,MI,09:18,10147.16,2015,Subaru,Forester,3500,No
110,65,8871891,WI,500/1000,500,843.5,1000000,53202,Male,Technology,,,,,,,,2022,Subaru,Outback,3600,No
11,28,6568102,NH,250/500,500,766.46,0,03101,Male,Hospitality,,,,,,,,2012,Tesla,Model Y,4400,Yes
10,58,3332870,WI,500/1000,500,826.71,0,53202,Male,Hospitality,,,,,,,,2012,Chevrolet,Equinox,3700,No
18,28,2182698,IL,250/500,500,675.28,0,60505,Female,Finance,2025-08-01,Intersection,3340 Oak St,Aurora,IL,03:48,1711.04,2018,Volkswagen,Tiguan,3800,Yes
120,39,5686854,SC,500/1000,1000,746.87,0,29401,Female,Finance,,,,,,,,2017,Kia,Sorento,4100,No
2,45,3881764,KY,250/500,500,773.99,0,40202,Male,Healthcare,,,,,,,,2016,Ford,F-150,4600,No
7,37,6317306,MI,250/500,1000,860.09,0,49503,Male,Healthcare,,,,,,,,2024,Subaru,Outback,3600,No
17,41,6619382,VA,250/500,1000,695.1,0,23510,Male,Manufacturing,2023-12-03,Intersection,4724 Elm St,Norfolk,VA,17:36,2375.42,2009,Ford,F-150,4600,No
68,74,7450355,IN,250/500,500,920.81,0,46802,Male,Retail,2024-08-06,Rear-end,5631 Pine St,Fort Wayne,IN,06:33,2100.03,2016,Chevrolet,Equinox,3700,No
54,70,1197240,ME,500/1000,1000,934.24,1000000,04401,Female,Technology,2023-08-27,Theft,6042 Oak St,Bangor,ME,07:30,1291.53,2014,Hyundai,Santa Fe,3900,Yes
84,25,6527655,TN,500/1000,500,450.0,0,37203,Female,Hospitality,,,,,,,,2018,Chevrolet,Equinox,3700,No
4,76,7640136,KY,500/1000,500,715.33,1000000,40202,Male,Transportation,,,,,,,,2017,Chevrolet,Equinox,3700,No
36,71,4522570,IN,250/500,500,683.12,0,46204,Male,Retail,2025-01-08,Theft,8712 Elm St,Indianapolis,IN,17:52,5455.05,2015,Tesla,Model 3,3600,Yes
6,45,6478978,AL,500/1000,500,683.71,0,35203,Male,Education,2023-06-09,Theft,2382 Maple St,Birmingham,AL,05:00,6216.99,2020,Honda,CR-V,3700,No
63,23,3254605,KY,250/500,500,1190.61,0,40202,Male,Manufacturing,2025-06-13,Intersection,3520 Elm St,Louisville,KY,00:24,32718.54,2018,Jeep,Cherokee,4200,Yes
1,63,3030440,KY,500/1000,500,1203.61,0,40507,Male,Manufacturing,,,,,,,,2020,Subaru,Outback,3600,No
5,42,2504275,VA,250/500,500,684.95,0,23219,Male,Hospitality,2025-09-11,Vandalism,7923 Pine St,Richmond,VA,15:07,2983.82,2012,Volkswagen,Jetta,3000,No
57,44,3395917,VT,250/500,1000,569.97,0,05602,Male,Education,,,,,,,,2017,Tesla,Model Y,4400,No
1,39,3755282,OH,250/500,500,756.7,0,44114,Female,Hospitality,,,,,,,,2013,Kia,Sportage,3500,No
124,55,1688455,WI,500/1000,1000,950.25,2000000,53703,Female,Hospitality,,,,,,,,2018,Nissan,Altima,3200,No
35,36,7402178,IL,500/1000,500,808.9,0,60505,Female,Finance,,,,,,,,2015,Subaru,Outback,3600,Yes
13,61,9091663,MI,500/1000,1000,993.1,0,49503,Female,Technology,,,,,,,,2024,Subaru,Outback,3600,No
72,55,1454363,ME,250/500,500,619.32,1000000,04401,Male,Finance,,,,,,,,2015,Chevrolet,Equinox,3700,Yes
66,27,1249781,SC,250/500,1000,835.92,1000000,29201,Male,Transportation,,,,,,,,2024,Chevrolet,Malibu,3400,No
61,35,7469541,NC,250/500,1000,805.4,0,27601,Female,Finance,,,,,,,,2015,Hyundai,Santa Fe,3900,No
15,42,4704983,ME,500/1000,500,611.35,0,04401,Male,Education,2023-02-26,Theft,2045 Pine St,Bangor,ME,09:27,7038.8,2020,Chevrolet,Malibu,3400,Yes
17,17,7296139,IN,250/500,500,1188.86,0,46802,Male,Manufacturing,,,,,,,,2012,Hyundai,Santa Fe,3900,Yes
24,53,8593902,NH,500/1000,500,677.69,1000000,03301,Female,Manufacturing,2024-09-30,Animal,4194 Oak St,Concord,NH,06:34,3593.14,2012,Volkswagen,Tiguan,3800,Yes
95,23,8926472,IL,500/1000,500,952.42,0,60505,Female,Healthcare,2021-03-24,Intersection,2535 Maple St,Aurora,IL,15:39,2509.91,2014,Subaru,Outback,3600,No
202,36,7107358,OH,500/1000,500,450.0,0,43215,Female,Transportation,,,,,,,,2012,Nissan,Altima,3200,No
13,47,5119559,GA,250/500,500,982.88,1000000,31401,Female,Transportation,,,,,,,,2014,Ford,F-150,4600,No
55,72,6158894,VT,250/500,500,720.41,0,05401,Male,Education,2022-05-12,Theft,5104 Oak St,Burlington,VT,09:27,2166.49,2013,Jeep,Grand Cherokee,4800,No
106,19,9140629,IL,250/500,1000,1111.21,1000000,60601,Female,Education,,,,,,,,2015,Honda,Accord,3300,Yes
32,38,6286617,TN,250/500,500,620.6,1000000,37203,Female,Technology,,,,,,,,2006,Jeep,Cherokee,4200,Yes
29,35,7136814,TN,500/1000,500,926.06,0,37902,Female,Manufacturing,,,,,,,,2014,Ford,Explorer,4300,Yes
36,34,4861186,KY,250/500,1000,1201.06,0,40507,Female,Manufacturing,,,,,,,,2016,Honda,Accord,3300,No
19,55,6939962,VA,250/500,1000,687.97,0,23510,Male,Retail,,,,,,,,2013,Tesla,Model Y,4400,No
10,21,1405835,SC,500/1000,500,1095.2,1000000,29201,Male,Healthcare,2024-07-05,Theft,3613 Maple St,Columbia,SC,23:57,400.0,2017,Tesla,Model Y,4400,No
1,71,5774223,VT,500/1000,1000,812.68,0,05401,Female,Retail,2020-07-08,Vandalism,8908 Maple St,Burlington,VT,19:36,4453.58,2013,Kia,Sportage,3500,Yes
39,26,7367821,NH,250/500,500,669.04,0,03301,Male,Education,,,,,,,,2014,Subaru,Outback,3600,No
39,38,7778034,TN,250/500,500,450.0,0,37203,Male,Healthcare,,,,,,,,2016,Kia,Sportage,3500,No
18,30,3475212,IN,500/1000,1000,758.99,1000000,46802,Male,Education,,,,,,,,2015,Subaru,Outback,3600,No
119,50,4759121,AL,250/500,1000,566.91,0,35203,Female,Manufacturing,,,,,,,,2016,Nissan,Rogue,3600,No
170,23,4941549,MI,250/500,500,730.94,0,49503,Female,Manufacturing,,,,,,,,2023,Chevrolet,Malibu,3400,Yes
