months_as_customer,age,policy_number,policy_state,policy_csl,policy_deductible,policy_annual_premium,umbrella_limit,zip_code,policyholder_gender,policyholder_occupation_sector,date_of_loss,loss_type,loss_location_address,loss_location_city,loss_location_state,time_of_loss,claim_amount,vehicle_year,vehicle_make,vehicle_model,vehicle_weight,previous_losses
21,49,9941609,WI,250/500,500,662.76,1000000,53703,Male,Technology,2024-07-21,Rear-end,6192 Pine St,Madison,WI,20:14,4286.53,2017,Tesla,Model 3,3600,No
218,57,4230827,SC,250/500,500,1077.98,1000000,29201,Male,Finance,2021-11-06,Intersection,9624 Elm St,Columbia,SC,17:51,2770.27,2014,Jeep,Grand Cherokee,4800,Yes
19,59,3540109,NH,250/500,500,830.2,1000000,03301,Female,Technology,2025-05-04,Rear-end,4310 Oak St,Concord,NH,11:19,7724.09,2016,Subaru,Outback,3600,No
89,54,5458416,IN,250/500,1000,450.0,0,46204,Male,Healthcare,2024-08-23,Rear-end,6022 Pine St,Indianapolis,IN,17:30,565.18,2024,Ford,F-150,4600,No
98,49,7508642,MI,250/500,1000,494.22,0,48201,Female,Hospitality,2023-01-23,Vandalism,8260 Maple St,Detroit,MI,16:37,9977.13,2014,Tesla,Model 3,3600,No
8,34,4335145,OH,250/500,500,997.41,2000000,44114,Female,Hospitality,2025-12-11,Theft,9416 Oak St,Cleveland,OH,06:54,1134.1,2020,Chevrolet,Silverado,4800,No
108,50,5551261,NC,250/500,1000,703.01,2000000,27601,Male,Finance,2025-07-02,Intersection,3180 Oak St,Raleigh,NC,04:30,1463.53,2014,Honda,Civic,2900,Yes
13,18,2984892,VA,250/500,500,1072.1,0,23510,Female,Manufacturing,2025-01-22,Vandalism,8906 Elm St,Norfolk,VA,10:46,3714.51,2015,Subaru,Outback,3600,No
7,42,2058628,AL,250/500,1000,722.01,0,35203,Female,Healthcare,2021-12-01,Single vehicle,2986 Oak St,Birmingham,AL,02:31,867.42,2013,Tesla,Model 3,3600,No
201,45,2840964,IL,500/1000,500,450.0,1000000,60601,Female,Manufacturing,2025-07-30,Rear-end,8911 Pine St,Chicago,IL,21:30,714.61,2010,Chevrolet,Silverado,4800,No
45,60,7770789,NC,250/500,1000,640.7,0,27601,Female,Manufacturing,2024-12-01,Single vehicle,429 Maple St,Raleigh,NC,00:45,1258.87,2019,Ford,F-150,4600,No
100,57,7707450,IL,250/500,500,813.77,0,60505,Male,Retail,2023-01-03,Rear-end,2579 Elm St,Aurora,IL,23:38,3311.78,2019,Subaru,Outback,3600,Yes
28,39,1885234,SC,500/1000,1000,1164.86,2000000,29401,Female,Finance,2024-05-16,Single vehicle,8675 Elm St,Charleston,SC,07:59,6611.21,2022,Ford,F-150,4600,Yes
4,40,4244575,OH,250/500,1000,599.72,0,43215,Male,Technology,2020-08-10,Vandalism,1088 Oak St,Columbus,OH,23:16,16096.56,2014,Ford,F-150,4600,No
30,35,7656120,IN,500/1000,500,715.78,0,46204,Female,Finance,2025-12-10,Animal,8984 Pine St,Indianapolis,IN,10:31,1797.85,2013,Ford,F-150,4600,Yes
188,31,1310337,IL,250/500,1000,450.0,2000000,60505,Male,Technology,2021-12-13,Intersection,6287 Maple St,Aurora,IL,18:41,5037.31,2011,Honda,Civic,2900,Yes
41,56,3904407,IN,250/500,500,991.01,0,46204,Female,Healthcare,2023-03-24,Intersection,1962 Maple St,Indianapolis,IN,16:08,6190.92,2019,Chevrolet,Silverado,4800,Yes
149,31,9764322,IN,250/500,1000,767.44,0,46204,Female,Technology,2021-04-10,Theft,8465 Pine St,Indianapolis,IN,15:49,5334.14,2016,Subaru,Outback,3600,No
14,50,1976397,ME,500/1000,500,745.38,0,04401,Male,Healthcare,2020-09-11,Vandalism,1357 Elm St,Bangor,ME,19:41,4181.37,2014,Honda,Civic,2900,No
142,60,1429481,VT,250/500,500,798.76,0,05602,Female,Manufacturing,2024-06-29,Intersection,1462 Elm St,Montpelier,VT,12:38,2199.34,2009,Ford,F-150,4600,No
12,34,3440964,IL,250/500,500,851.47,0,60505,Female,Hospitality,2021-10-04,Vandalism,318 Elm St,Aurora,IL,03:12,1186.62,2017,Subaru,Outback,3600,Yes
31,50,6226828,OH,500/1000,1000,577.11,0,43215,Female,Retail,2021-09-29,Rear-end,8418 Oak St,Columbus,OH,14:08,10332.86,2020,Hyundai,Elantra,2800,No
82,43,7630867,WI,250/500,500,802.58,0,53202,Male,Technology,2024-04-08,Intersection,9795 Pine St,Milwaukee,WI,23:19,3889.6,2012,Toyota,Camry,3300,No
37,59,9801025,VA,250/500,500,598.91,0,23510,Male,Healthcare,2024-08-01,Rear-end,6997 Oak St,Norfolk,VA,00:09,9321.61,2016,Subaru,Outback,3600,No
80,30,3985765,VA,250/500,1000,790.46,1000000,23510,Male,Education,2025-11-17,Theft,465 Pine St,Norfolk,VA,02:29,3790.09,2018,Chevrolet,Silverado,4800,No
95,24,1615856,WI,250/500,500,764.82,1000000,53202,Male,Manufacturing,2022-04-21,Rear-end,3694 Oak St,Milwaukee,WI,16:19,2245.65,2017,Chevrolet,Silverado,4800,No
5,57,9449947,ME,250/500,1000,894.06,0,04401,Female,Healthcare,2025-11-05,Single vehicle,600 Elm St,Bangor,ME,20:27,4603.82,2017,Hyundai,Elantra,2800,No
9,62,5315551,TN,250/500,500,809.98,2000000,37902,Male,Manufacturing,2020-01-12,Vandalism,5062 Oak St,Knoxville,TN,12:44,2803.89,2011,Ford,F-150,4600,No
59,43,5347133,NH,500/1000,500,561.93,2000000,03301,Female,Transportation,2020-07-05,Single vehicle,4818 Oak St,Concord,NH,06:35,5214.76,2015,Honda,Civic,2900,Yes
251,41,3879474,AL,500/1000,500,567.46,0,35203,Female,Retail,2025-01-11,Vandalism,8875 Pine St,Birmingham,AL,15:52,3876.71,2012,Tesla,Model 3,3600,Yes
39,66,1390319,NC,250/500,500,936.57,0,28202,Male,Manufacturing,2025-01-20,Animal,8271 Oak St,Charlotte,NC,04:16,3538.3,2017,Honda,Civic,2900,Yes
190,29,3381000,ME,250/500,1000,675.77,0,04101,Female,Finance,2025-10-11,Single vehicle,9597 Oak St,Portland,ME,15:51,1670.63,2013,Chevrolet,Silverado,4800,No
25,60,8581275,NH,500/1000,1000,661.21,0,03301,Female,Transportation,2021-05-15,Rear-end,9972 Maple St,Concord,NH,11:21,5241.59,2014,Ford,F-150,4600,No
151,50,5671196,OH,250/500,500,503.25,1000000,44114,Female,Hospitality,2022-09-23,Single vehicle,7382 Maple St,Cleveland,OH,20:48,5048.91,2016,Hyundai,Elantra,2800,No
40,34,6976744,AL,250/500,500,742.01,1000000,35801,Male,Hospitality,2020-03-09,Intersection,5409 Pine St,Huntsville,AL,05:16,5871.25,2019,Honda,Civic,2900,No
75,46,2613587,ME,250/500,1000,516.8,0,04401,Male,Hospitality,2022-05-19,Theft,7314 Elm St,Bangor,ME,16:27,5159.31,2013,Hyundai,Elantra,2800,Yes
165,38,6080837,TN,250/500,500,594.48,1000000,37902,Female,Retail,2021-03-08,Intersection,4574 Pine St,Knoxville,TN,13:41,2036.8,2021,Ford,F-150,4600,Yes
18,36,2398717,IN,500/1000,500,969.97,0,46802,Female,Education,2023-11-02,Single vehicle,7955 Pine St,Fort Wayne,IN,14:04,4220.23,2019,Hyundai,Elantra,2800,No
80,34,9425124,KY,250/500,500,450.0,2000000,40202,Male,Hospitality,2021-01-23,Intersection,1251 Oak St,Louisville,KY,21:45,3367.56,2014,Tesla,Model 3,3600,Yes
47,43,9338953,NC,500/1000,500,721.01,0,28202,Male,Education,2020-08-04,Single vehicle,5018 Maple St,Charlotte,NC,13:22,1317.7,2018,Toyota,Camry,3300,No
67,46,7741035,GA,500/1000,500,658.0,0,30303,Female,Manufacturing,2025-09-29,Animal,9435 Oak St,Atlanta,GA,17:52,1605.02,2011,Chevrolet,Silverado,4800,Yes
39,39,8271803,VA,500/1000,500,800.34,0,23219,Male,Hospitality,2024-03-25,Animal,8482 Pine St,Richmond,VA,03:44,4702.78,2014,Honda,Civic,2900,Yes
38,22,7605966,WI,250/500,500,1189.66,0,53703,Male,Hospitality,2022-01-03,Single vehicle,3420 Pine St,Madison,WI,07:11,31306.24,2022,Honda,Civic,2900,No
25,40,7544285,WI,250/500,500,498.18,0,53703,Male,Technology,2020-11-24,Single vehicle,4974 Maple St,Madison,WI,17:29,1012.52,2012,Hyundai,Elantra,2800,No
1,39,3645645,ME,500/1000,500,581.8,0,04101,Male,Education,2025-06-27,Animal,7046 Elm St,Portland,ME,22:58,3583.97,2024,Hyundai,Elantra,2800,No
209,56,3203746,IL,500/1000,500,902.7,0,60505,Male,Education,2020-04-18,Rear-end,8406 Elm St,Aurora,IL,02:07,2889.16,2014,Honda,Civic,2900,No
53,69,5608991,NC,250/500,500,946.77,1000000,28202,Male,Retail,2020-01-24,Single vehicle,8592 Maple St,Charlotte,NC,20:15,2355.86,2021,Subaru,Outback,3600,No
242,46,2501651,IN,250/500,500,450.0,0,46802,Male,Technology,2024-04-12,Vandalism,3964 Elm St,Fort Wayne,IN,13:09,5841.69,2012,Ford,F-150,4600,Yes
37,22,5920288,IN,500/1000,1000,477.54,0,46802,Male,Finance,2022-07-17,Theft,9921 Elm St,Fort Wayne,IN,11:30,5242.87,2020,Tesla,Model 3,3600,No
3,38,9835650,VA,250/500,500,687.31,0,23510,Male,Manufacturing,2021-06-02,Rear-end,6571 Elm St,Norfolk,VA,21:37,5030.17,2022,Jeep,Grand Cherokee,4800,Yes
41,53,7468183,VA,250/500,500,990.06,0,23510,Male,Retail,2023-03-24,Single vehicle,2881 Maple St,Norfolk,VA,20:16,3894.26,2014,Ford,F-150,4600,Yes
197,29,5189399,IL,500/1000,1000,609.19,0,60601,Female,Technology,2021-09-12,Single vehicle,3082 Oak St,Chicago,IL,02:50,1771.73,2015,Toyota,Camry,3300,Yes
67,57,9384755,NC,250/500,500,669.6,0,27601,Male,Finance,2023-04-02,Single vehicle,3957 Oak St,Raleigh,NC,04:16,7092.49,2010,Chevrolet,Silverado,4800,Yes
18,22,6233776,IN,250/500,1000,841.93,0,46802,Female,Education,2024-10-18,Vandalism,582 Pine St,Fort Wayne,IN,16:19,8157.39,2013,Chevrolet,Silverado,4800,No
40,78,1904409,VT,250/500,500,856.83,1000000,05602,Male,Healthcare,2024-10-18,Intersection,7779 Oak St,Montpelier,VT,16:28,1938.04,2021,Subaru,Outback,3600,No
57,67,1680225,MI,250/500,500,665.96,1000000,49503,Female,Hospitality,2020-06-11,Animal,3858 Maple St,Grand Rapids,MI,19:25,6016.44,2008,Ford,F-150,4600,Yes
76,31,8370516,OH,250/500,500,495.23,0,43215,Male,Hospitality,2025-05-20,Theft,578 Maple St,Columbus,OH,05:40,2364.49,2013,Tesla,Model 3,3600,No
53,65,5458759,ME,250/500,1000,812.37,1000000,04401,Female,Retail,2021-07-30,Intersection,8810 Maple St,Bangor,ME,11:29,16991.0,2018,Ford,F-150,4600,Yes
82,41,4748957,TN,250/500,1000,723.66,1000000,37203,Female,Transportation,2021-02-26,Intersection,7332 Oak St,Nashville,TN,10:06,2772.59,2016,Tesla,Model 3,3600,No
70,56,8768000,NH,500/1000,500,951.57,1000000,03301,Male,Manufacturing,2022-04-17,Rear-end,6689 Elm St,Concord,NH,09:07,759.41,2016,Ford,F-150,4600,No
78,42,2326039,GA,500/1000,1000,509.24,0,31401,Female,Finance,2025-12-22,Vandalism,2242 Maple St,Savannah,GA,04:15,4734.64,2015,Ford,F-150,4600,Yes
35,43,5642746,VT,250/500,500,872.88,0,05602,Female,Transportation,2022-12-30,Single vehicle,5273 Pine St,Montpelier,VT,03:05,1859.73,2017,Honda,Civic,2900,No
57,59,8359992,OH,250/500,500,593.18,0,43215,Male,Transportation,2022-11-18,Theft,1656 Pine St,Columbus,OH,13:11,3126.5,2024,Hyundai,Elantra,2800,No
27,50,4157359,IN,250/500,1000,934.65,1000000,46204,Male,Hospitality,2022-05-06,Vandalism,2195 Maple St,Indianapolis,IN,17:12,4286.38,2015,Hyundai,Elantra,2800,No
16,45,6213644,ME,250/500,500,910.53,1000000,04101,Female,Education,2022-02-28,Single vehicle,8173 Maple St,Portland,ME,17:40,4685.01,2023,Toyota,Camry,3300,Yes
83,47,8516056,IN,250/500,500,788.3,0,46802,Male,Hospitality,2022-01-17,Rear-end,5022 Pine St,Fort Wayne,IN,16:00,9020.13,2018,Subaru,Outback,3600,No
56,55,7083965,TN,250/500,500,894.87,0,37902,Female,Retail,2020-01-07,Rear-end,6793 Oak St,Knoxville,TN,09:57,4012.08,2019,Jeep,Grand Cherokee,4800,No
85,37,2666508,WI,500/1000,500,484.87,0,53703,Female,Transportation,2022-10-01,Single vehicle,6947 Elm St,Madison,WI,08:02,1998.69,2017,Honda,Civic,2900,No
13,69,8705776,NC,250/500,500,689.77,0,27601,Female,Hospitality,2024-08-24,Vandalism,7186 Pine St,Raleigh,NC,21:55,4853.83,2016,Honda,Civic,2900,Yes
78,33,2511087,WI,500/1000,1000,719.47,2000000,53703,Female,Transportation,2022-07-16,Intersection,8372 Oak St,Madison,WI,18:56,10649.79,2015,Ford,F-150,4600,No
58,48,9052429,TN,500/1000,1000,654.68,0,37902,Male,Education,2021-11-30,Intersection,6168 Elm St,Knoxville,TN,09:15,13123.69,2014,Tesla,Model 3,3600,No
134,62,8328234,NH,250/500,500,836.73,0,03301,Female,Manufacturing,2020-03-29,Rear-end,5329 Maple St,Concord,NH,01:32,10909.73,2018,Chevrolet,Silverado,4800,No
7,31,6465227,KY,250/500,500,634.15,0,40507,Male,Healthcare,2021-12-22,Animal,5805 Pine St,Lexington,KY,15:07,2460.9,2015,Chevrolet,Silverado,4800,No
128,50,2177999,NC,500/1000,1000,450.0,0,28202,Male,Hospitality,2024-03-04,Animal,3966 Maple St,Charlotte,NC,13:09,8658.02,2008,Hyundai,Elantra,2800,Yes
102,74,5271002,WI,250/500,1000,629.17,0,53202,Female,Transportation,2021-03-16,Intersection,9972 Oak St,Milwaukee,WI,02:38,36170.2,2016,Tesla,Model 3,3600,No
38,28,9090527,NH,250/500,500,763.09,0,03301,Female,Hospitality,2025-01-19,Theft,4572 Oak St,Concord,NH,21:45,10703.76,2016,Chevrolet,Silverado,4800,No
122,17,1713311,MI,500/1000,500,1043.64,0,48201,Male,Technology,2024-02-10,Single vehicle,5957 Pine St,Detroit,MI,14:16,9526.48,2021,Jeep,Grand Cherokee,4800,No
91,43,2775990,OH,250/500,500,450.0,1000000,44114,Female,Finance,2022-11-22,Animal,9466 Maple St,Cleveland,OH,12:41,4605.03,2017,Jeep,Grand Cherokee,4800,No
39,49,4790321,IN,500/1000,500,925.59,1000000,46802,Male,Manufacturing,2021-05-31,Animal,6036 Elm St,Fort Wayne,IN,19:42,2745.05,2020,Subaru,Outback,3600,No
